Participant,Duration_Secs.sum,Total.Recording.Hours,AWC_COUNT.sum,AWC.Normalized,CT_COUNT.sum,CT.Normalized,Age.months,Family.Status,Family.Annual.Income,Education,Occupation,Caregiver.Race.Ethnicity,Language,cryfreq,crydur,Baby.Gender,Caregiver.Age,Infant.Race.Ethnicity
P01,NA,NA,NA,NA,NA,NA,6.57,1,6,5,3,4,1,NA,NA,1,31,4
P02,NA,NA,NA,NA,NA,NA,8.27,1,6,5,1,4,1,NA,NA,2,33,4
P03,NA,NA,NA,NA,NA,NA,5.73,1,3,4,3,6,1,NA,NA,2,35,8
P04,NA,NA,NA,NA,NA,NA,6.3,1,3,7,3,4,1,78.2852,1.895284,1,33,4
P05,NA,NA,NA,NA,NA,NA,2.8,1,5,5,3,4,1,NA,NA,2,35,4
P06,115640,32.12222222,33103,769.9587013,273,6.349839152,1.7,1,5,7,3,4,1,NA,NA,1,31,4
P07,12860,3.572222222,291,547.3023275,1,1.880764012,2.27,1,4,7,3,4,1,NA,NA,1,41,4
P08,87128,24.20222222,12287,503.4387164,181,7.416164049,2.87,1,6,7,3,4,1,70.00791847,1.972467801,1,42,8
P09,NA,NA,NA,NA,NA,NA,7.57,1,3,5,1,4,1,NA,3.933391155,2,34,8
P10,NA,NA,NA,NA,NA,NA,2.37,1,6,5,3,4,1,NA,NA,1,35,4
P11,86399,23.99972222,7389,307.8821269,232,9.666890436,6.27,1,4,5,2,4,1,86.3772,3.084666388,2,29,4
P12,NA,NA,NA,NA,NA,NA,4.4,5,3,5,1,8,2,82.22567843,3.332826121,1,23,8
P13,328151,91.15305556,29621,85.5595507,605,1.747528043,4.7,1,6,7,3,8,1,NA,4.942728249,1,32,8
P14,86410,24.00277778,13219,550.6641907,170,7.081693957,10.4,1,5,7,3,4,1,94.8738,2.378733668,1,33,4
P15,261568,72.65777778,18198,82.73145847,363,1.650264833,4.37,1,6,7,3,4,1,77.476,2.442472056,2,32,4
P16,157058,43.62722222,20284,255.7700684,362,4.564620625,5.5,1,5,7,3,6,1,99.87886466,3.607588679,2,33,6
P17,172807,48.00194444,12590,131.1352087,166,1.729026581,10.3,1,4,7,3,4,1,76.4645,1.558552888,2,NA,4
P18,168073,46.68694444,18912,208.236952,643,7.079968283,6.23,1,5,7,2,4,1,NA,4.530763942,2,34,4
P19,177814,49.39277778,37577,369.6633923,275,2.705309974,3.83,1,6,5,1,8,1,75.18869227,2.154067902,1,25,8
P20,175972,48.88111111,15676,157.4578648,216,2.169615897,3.77,1,4,8,1,4,1,73.31415288,1.85614604,2,39,4
P21,173021,48.06138889,14577,151.4560972,231,2.400106912,10.8,1,5,7,1,8,1,82.58650553,1.532846134,2,30,8
P22,86406,24.00166667,11811,492.0566564,161,6.707401717,5.43,1,4,5,2,4,1,89.2094,2.798444944,2,26,4
P23,7478,2.077222222,1443,8026.23096,24,133.4924068,10.23,1,6,7,3,8,1,NA,NA,2,33,8
P24,67631,18.78638889,9873,671.38829,233,15.84457324,5.47,1,3,5,1,4,1,NA,NA,2,NA,4
P25,291315,80.92083333,37036,135.7421189,1036,3.797084868,9.33,1,5,5,2,4,1,NA,3.245027806,2,36,4
P26,259121,71.97805556,31964,148.0717275,548,2.538584241,3.6,1,4,7,1,4,1,76.14048306,1.467797275,2,33,4
P27,47568,13.21333333,8906,1224.247287,123,16.90797399,3.33,1,3,2,3,4,1,NA,NA,1,25,4
P28,254744,70.76222222,42602,204.1918028,746,3.575585299,9.27,1,4,5,3,2,1,NA,2.34980808,1,33,8
P29,103006,28.61277778,8282,242.7875564,148,4.338632981,4.37,1,3,4,1,6,1,64.1242,1.255494888,1,27,6
P30,212596,59.05444444,40029,275.474121,655,4.507620707,10.6,1,4,7,3,4,1,97.78774589,2.359232797,1,31,8
P31,253796,70.49888889,35725,172.5118508,615,2.969763143,2.87,1,3,4,1,6,1,80.35744926,1.67463174,2,28,6
P32,287825,79.95138889,39179,147.099963,821,3.082494949,4.67,NA,NA,NA,NA,4,1,75.0484,3.020928,2,33,4
P33,312555,86.82083333,51532,164.0742168,548,1.74479296,4.37,1,3,5,1,8,1,102.1335635,3.098080062,1,28,8
P34,191176,53.10444444,23114,196.7091723,326,2.774387392,1.53,1,5,7,1,4,1,90.8278,3.595776112,2,35,4
P35,257403,71.50083333,17876,83.91882236,372,1.746352759,6.17,1,3,5,1,4,1,94.31422904,4.942728249,2,39,4
P36,267948,74.43,32279,139.841243,689,2.984931888,6.37,5,1,3,2,6,1,81.1174,2.158655832,2,24,8
