Participant,Absolute Time,Minute Count,Acceleration Sum,Acceleration Variance
P12,4/2/18 17:00,60,4.704102671,0.012115565
P12,4/2/18 18:00,60,4.134780677,0.002782706
P12,4/2/18 19:00,60,0.892912288,0.000238694
P12,4/2/18 20:00,60,1.858704473,0.000955897
P12,4/2/18 21:00,60,1.954969366,0.000975668
P12,4/2/18 22:00,60,0.345144052,9.70E-06
P12,4/2/18 23:00,60,0.320936773,5.14E-06
P12,4/3/18 0:00,60,0.403202841,2.88E-05
P12,4/3/18 1:00,60,0.546072007,9.96E-05
P12,4/3/18 2:00,60,0.439752534,1.82E-05
P12,4/3/18 3:00,60,0.516860173,3.96E-05
P12,4/3/18 4:00,60,0.570961644,0.000146913
P12,4/3/18 5:00,60,0.697450593,0.00010644
P12,4/3/18 6:00,60,0.432353516,3.66E-05
P12,4/3/18 7:00,60,0.953880339,0.000451979
P12,4/3/18 8:00,60,0.741652312,0.000207093
P12,4/3/18 9:00,60,0.720032394,0.000139879
P12,4/3/18 10:00,60,1.574161423,0.000841875
P12,4/3/18 11:00,60,2.488804712,0.000578869
P12,4/3/18 12:00,60,1.248530335,0.000457978
P12,4/3/18 13:00,60,6.479776155,0.002878335
P12,4/3/18 14:00,60,2.356375139,0.000464545
P12,4/3/18 15:00,60,3.630925916,0.001663296
P12,4/3/18 16:00,60,2.231591699,0.001337658
P12,4/3/18 17:00,60,1.339818879,0.000742962
P12,4/3/18 18:00,60,0.325242493,8.77E-05
P12,4/3/18 19:00,60,0.30225963,6.98E-05
P12,4/3/18 20:00,60,0.221833032,1.81E-09
P12,4/3/18 21:00,60,0.221466493,2.50E-09
P12,4/3/18 22:00,60,0.218738319,1.75E-09
P12,4/3/18 23:00,60,0.216992572,2.48E-09
P12,4/4/18 0:00,60,0.215637791,1.68E-09
P12,4/4/18 1:00,60,0.213655443,2.65E-09
P12,4/4/18 2:00,60,0.212369846,1.72E-09
P12,4/4/18 3:00,60,0.211436235,1.20E-09
P12,4/4/18 4:00,60,0.210689217,1.44E-09
P12,4/4/18 5:00,60,0.210503996,1.69E-09
P12,4/4/18 6:00,60,0.209418563,1.88E-09
P12,4/4/18 7:00,60,0.208935505,1.38E-09
P12,4/4/18 8:00,60,0.209047436,2.25E-09
P12,4/4/18 9:00,60,0.209128318,1.32E-09
P12,4/4/18 10:00,60,0.209490511,1.92E-09
P12,4/4/18 11:00,60,0.209162313,1.62E-09
P12,4/4/18 12:00,60,0.827547502,0.000837141
P12,4/4/18 13:00,60,4.402938732,0.014705032
P12,4/4/18 14:00,47,1.261707641,0.005015656
P12,4/2/18 17:00,60,4.704102671,0.012115565
P12,4/2/18 18:00,60,4.134780677,0.002782706
P12,4/2/18 19:00,60,0.892912288,0.000238694
P12,4/2/18 20:00,60,1.858704473,0.000955897
P12,4/2/18 21:00,60,1.954969366,0.000975668
P12,4/2/18 22:00,60,0.345144052,9.70E-06
P12,4/2/18 23:00,60,0.320936773,5.14E-06
P12,4/3/18 0:00,60,0.403202841,2.88E-05
P12,4/3/18 1:00,60,0.546072007,9.96E-05
P12,4/3/18 2:00,60,0.439752534,1.82E-05
P12,4/3/18 3:00,60,0.516860173,3.96E-05
P12,4/3/18 4:00,60,0.570961644,0.000146913
P12,4/3/18 5:00,60,0.697450593,0.00010644
P12,4/3/18 6:00,60,0.432353516,3.66E-05
P12,4/3/18 7:00,60,0.953880339,0.000451979
P12,4/3/18 8:00,60,0.741652312,0.000207093
P12,4/3/18 9:00,60,0.720032394,0.000139879
P12,4/3/18 10:00,60,1.574161423,0.000841875
P12,4/3/18 11:00,60,2.488804712,0.000578869
P12,4/3/18 12:00,60,1.248530335,0.000457978
P12,4/3/18 13:00,60,6.479776155,0.002878335
